id,name,group,material,x_mm,y_mm,z_mm,width_mm,depth_mm,height_mm,status
P001,Tapered leg 11,Legs,SMOKED_OAK,14,14,0,34,38,576,"CONCEPT exterior, not cut list"
P002,Tapered leg 12,Legs,SMOKED_OAK,14,428,0,34,38,576,"CONCEPT exterior, not cut list"
P003,Tapered leg 21,Legs,SMOKED_OAK,552,14,0,34,38,576,"CONCEPT exterior, not cut list"
P004,Tapered leg 22,Legs,SMOKED_OAK,552,428,0,34,38,576,"CONCEPT exterior, not cut list"
P005,Lower smoked-oak tray base,Lower,SMOKED_OAK,48,52,74,504,376,8,"CONCEPT exterior, not cut list"
P006,Lower natural-oak inset,Lower,NATURAL_OAK,66,70,82,468,340,10,"CONCEPT exterior, not cut list"
P007,Middle smoked-oak tray base,Middle,SMOKED_OAK,48,52,320,504,376,8,"CONCEPT exterior, not cut list"
P008,Middle natural-oak inset,Middle,NATURAL_OAK,66,70,328,468,340,10,"CONCEPT exterior, not cut list"
P009,Single rear stretcher,Structure,SMOKED_OAK,48,438.0,222,504,18,22,"CONCEPT exterior, not cut list"
P010,Front/back apron,Top,SMOKED_OAK,48,24.0,552,504,18,24,"CONCEPT exterior, not cut list"
P011,Front/back apron,Top,SMOKED_OAK,48,438.0,552,504,18,24,"CONCEPT exterior, not cut list"
P012,Side apron,Top,SMOKED_OAK,22.0,52,552,18,376,24,"CONCEPT exterior, not cut list"
P013,Side apron,Top,SMOKED_OAK,560.0,52,552,18,376,24,"CONCEPT exterior, not cut list"
P014,Smoked-oak top base,Top,SMOKED_OAK,0,0,576,600,480,8,"CONCEPT exterior, not cut list"
P015,Natural-oak top inset,Top,NATURAL_OAK,24,24,584,552,432,16,"CONCEPT exterior, not cut list"
