id,name,component,group,subgroup,material,x_mm,y_mm,z_mm
P086,DOOR1_GLASS,DOOR1_GLASS,右門與把手,右門玻璃,長虹玻璃,268.0,4.6,1048.0
P087,HANDLE1_oval,右把手 H02 · 橢圓頭,右門與把手,右把手 H02,金屬,24.0,24.0,39.0
P088,HANDLE1_neck_ASSUMED,右把手 H02 · 接頸（暫定）,右門與把手,右把手 H02,金屬,7.0,14.0,7.0
P089,HANDLE1_base_ASSUMED,右把手 H02 · 底座（暫定）,右門與把手,右把手 H02,金屬,17.5,2.0,17.5
P090,SIDE0_bead_V40.0,SIDE0_bead_V40.0,側玻璃與飾條,左側飾條,楓木,12,9.0,1080.0
P091,SIDE0_bead_V321.0,SIDE0_bead_V321.0,側玻璃與飾條,左側飾條,楓木,12,9.0,1080.0
P092,SIDE0_bead_H325.0,SIDE0_bead_H325.0,側玻璃與飾條,左側飾條,楓木,12,272.0,9.0
P093,SIDE0_bead_H1396.0,SIDE0_bead_H1396.0,側玻璃與飾條,左側飾條,楓木,12,272.0,9.0
P094,SIDE0_GLASS,SIDE0_GLASS,側玻璃與飾條,左側玻璃,長虹玻璃,4.6,272.0,1062.0
P095,SIDE1_bead_V40.0,SIDE1_bead_V40.0,側玻璃與飾條,右側飾條,楓木,12.0,9.0,1080.0
P096,SIDE1_bead_V321.0,SIDE1_bead_V321.0,側玻璃與飾條,右側飾條,楓木,12.0,9.0,1080.0
P097,SIDE1_bead_H325.0,SIDE1_bead_H325.0,側玻璃與飾條,右側飾條,楓木,12.0,272.0,9.0
P098,SIDE1_bead_H1396.0,SIDE1_bead_H1396.0,側玻璃與飾條,右側飾條,楓木,12.0,272.0,9.0
P099,SIDE1_GLASS,SIDE1_GLASS,側玻璃與飾條,右側玻璃,長虹玻璃,4.6,272.0,1062.0
