id,name,group,material,x_mm,y_mm,z_mm,width_mm,depth_mm,height_mm,status
P081,Middle mitred perimeter strip 7,Middle,WALNUT,48,66,320,22,348,8,L1 exterior only; not cut list
P082,Middle mitred perimeter strip 8,Middle,WALNUT,48,52,320,32,32,8,L1 exterior only; not cut list
P083,Middle plywood infill,Middle,MAPLE,70,74,320,460,332,8,L1 exterior only; not cut list
P084,Middle maple-veneered plywood raised panel,Middle,MAPLE,66,70,328,468,340,10,L1 exterior only; not cut list
P085,Top mitred perimeter strip 1,Top,WALNUT,24,0,576,552,28,8,L1 exterior only; not cut list
P086,Top mitred perimeter strip 2,Top,WALNUT,552,0,576,48,48,8,L1 exterior only; not cut list
P087,Top mitred perimeter strip 3,Top,WALNUT,572,24,576,28,432,8,L1 exterior only; not cut list
P088,Top mitred perimeter strip 4,Top,WALNUT,552,432,576,48,48,8,L1 exterior only; not cut list
P089,Top mitred perimeter strip 5,Top,WALNUT,24,452,576,552,28,8,L1 exterior only; not cut list
P090,Top mitred perimeter strip 6,Top,WALNUT,0,432,576,48,48,8,L1 exterior only; not cut list
P091,Top mitred perimeter strip 7,Top,WALNUT,0,24,576,28,432,8,L1 exterior only; not cut list
P092,Top mitred perimeter strip 8,Top,WALNUT,0,0,576,48,48,8,L1 exterior only; not cut list
P093,Top plywood infill,Top,MAPLE,28,28,576,544,424,8,L1 exterior only; not cut list
P094,Top maple-veneered plywood raised panel,Top,MAPLE,24,24,584,552,432,16,L1 exterior only; not cut list
